Method,Sub name,Concurrency,bonnie-vm1,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm2,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm3,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm4,VDB_Ksec,VDB_%CPU,VDB_Latency
Sequential Output,Per character,1,bonnie-vm1,773,93,10188us,bonnie-vm2,810,94,9878us,bonnie-vm3,808,93,9934us,bonnie-vm4,668,94,12207us
Sequential Output,Block,1,bonnie-vm1,32800,3,312ms,bonnie-vm2,78047,8,416ms,bonnie-vm3,39041,4,449ms,bonnie-vm4,96389,9,419ms
Sequential Output,Rewrite,1,bonnie-vm1,126529,9,1933ms,bonnie-vm2,152616,11,1011ms,bonnie-vm3,47168,3,127s,bonnie-vm4,80466,6,2716ms
Sequential Input,Per character,1,bonnie-vm1,3887,81,2042us,bonnie-vm2,3823,80,2091us,bonnie-vm3,3878,80,2060us,bonnie-vm4,3482,77,2099us
Sequential Input,Block,1,bonnie-vm1,2663893,80,1456us,bonnie-vm2,2014134,74,1038us,bonnie-vm3,2470017,79,2353us,bonnie-vm4,1898259,76,8066us
Random,Seeks,1,bonnie-vm1,373.7,6,2651us,bonnie-vm2,393.1,6,2955us,bonnie-vm3,416.2,7,1620us,bonnie-vm4,316.1,5,3074us
Sequential Create,Create,1,bonnie-vm1,27270,35,221us,bonnie-vm2,21055,24,237us,bonnie-vm3,26964,34,224us,bonnie-vm4,21645,30,295us
Sequential Create,Read,1,bonnie-vm1,+++++,+++,337us,bonnie-vm2,+++++,+++,373us,bonnie-vm3,+++++,+++,370us,bonnie-vm4,+++++,+++,343us
Sequential Create,Delete,1,bonnie-vm1,26501,23,391us,bonnie-vm2,18227,16,377us,bonnie-vm3,+++++,+++,648us,bonnie-vm4,26981,27,735us
Random create,Create,1,bonnie-vm1,28168,30,247us,bonnie-vm2,26698,29,261us,bonnie-vm3,+++++,+++,227us,bonnie-vm4,20109,26,241us
Random create,Read,1,bonnie-vm1,+++++,+++,41us,bonnie-vm2,+++++,+++,15us,bonnie-vm3,+++++,+++,43us,bonnie-vm4,+++++,+++,44us
Random create,Delete,1,bonnie-vm1,+++++,+++,384us,bonnie-vm2,27012,23,376us,bonnie-vm3,25530,22,370us,bonnie-vm4,32226,32,415us
Method,Sub name,Concurrency,bonnie-vm1,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm1,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm2,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm2,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm3,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm3,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm4,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm4,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,2,bonnie-vm1,745,93,10652us,bonnie-vm1,768,93,10293us,bonnie-vm2,762,95,10496us,bonnie-vm2,754,92,10128us,bonnie-vm3,770,91,10255us,bonnie-vm3,816,94,9815us,bonnie-vm4,633,94,12984us,bonnie-vm4,597,86,12528us
Sequential Output,Block,2,bonnie-vm1,49393,5,940ms,bonnie-vm1,56517,5,807ms,bonnie-vm2,77977,7,746ms,bonnie-vm2,71328,7,1114ms,bonnie-vm3,33437,3,799ms,bonnie-vm3,58686,5,834ms,bonnie-vm4,53009,6,1026ms,bonnie-vm4,64874,7,516ms
Sequential Output,Rewrite,2,bonnie-vm1,88465,8,3501ms,bonnie-vm1,92819,9,3385ms,bonnie-vm2,112283,11,2253ms,bonnie-vm2,114701,11,1718ms,bonnie-vm3,43614,4,127s,bonnie-vm3,149314,13,1135ms,bonnie-vm4,78916,8,2890ms,bonnie-vm4,86638,8,3087ms
Sequential Input,Per character,2,bonnie-vm1,3426,76,3774us,bonnie-vm1,4414,100,3782us,bonnie-vm2,3356,72,2074us,bonnie-vm2,3691,80,2057us,bonnie-vm3,3824,84,2016us,bonnie-vm3,3639,81,2075us,bonnie-vm4,3577,79,2115us,bonnie-vm4,3763,84,5833us
Sequential Input,Block,2,bonnie-vm1,1647599,73,1820us,bonnie-vm1,1509848,71,1759us,bonnie-vm2,1557501,72,1124us,bonnie-vm2,1466799,71,1142us,bonnie-vm3,1914095,76,1927us,bonnie-vm3,1328263,68,2641us,bonnie-vm4,749168,61,13816us,bonnie-vm4,752800,60,14029us
Random,Seeks,2,bonnie-vm1,56.9,0,3706us,bonnie-vm1,56.4,0,128s,bonnie-vm2,261.6,3,2648us,bonnie-vm2,268.3,3,3855us,bonnie-vm3,469.4,7,2891us,bonnie-vm3,485.5,6,910ms,bonnie-vm4,245.2,4,2726ms,bonnie-vm4,253.1,4,6542us
Sequential Create,Create,2,bonnie-vm1,11506,14,92535us,bonnie-vm1,11502,14,259us,bonnie-vm2,6020,8,285ms,bonnie-vm2,6021,8,320us,bonnie-vm3,11091,13,478us,bonnie-vm3,11088,13,176ms,bonnie-vm4,16015,26,2838us,bonnie-vm4,16020,25,226ms
Sequential Create,Read,2,bonnie-vm1,+++++,+++,351us,bonnie-vm1,+++++,+++,360us,bonnie-vm2,+++++,+++,534us,bonnie-vm2,+++++,+++,527us,bonnie-vm3,+++++,+++,380us,bonnie-vm3,+++++,+++,348us,bonnie-vm4,+++++,+++,365us,bonnie-vm4,+++++,+++,355us
Sequential Create,Delete,2,bonnie-vm1,13332,13,707us,bonnie-vm1,13333,13,679us,bonnie-vm2,8766,8,644us,bonnie-vm2,8766,8,605us,bonnie-vm3,14775,14,613us,bonnie-vm3,14775,14,637us,bonnie-vm4,14116,15,646us,bonnie-vm4,14119,15,667us
Random create,Create,2,bonnie-vm1,13950,16,293us,bonnie-vm1,13948,16,308us,bonnie-vm2,9947,12,464us,bonnie-vm2,9947,12,511us,bonnie-vm3,16794,20,293us,bonnie-vm3,16786,20,114ms,bonnie-vm4,16852,24,432us,bonnie-vm4,16991,23,350us
Random create,Read,2,bonnie-vm1,+++++,+++,29us,bonnie-vm1,+++++,+++,25us,bonnie-vm2,+++++,+++,18us,bonnie-vm2,+++++,+++,23us,bonnie-vm3,+++++,+++,36us,bonnie-vm3,+++++,+++,30us,bonnie-vm4,+++++,+++,34us,bonnie-vm4,+++++,+++,25us
Random create,Delete,2,bonnie-vm1,12301,12,681us,bonnie-vm1,12303,12,674us,bonnie-vm2,6926,6,684us,bonnie-vm2,6925,7,647us,bonnie-vm3,13871,13,687us,bonnie-vm3,13867,14,632us,bonnie-vm4,17001,18,677us,bonnie-vm4,16995,18,967us
Method,Sub name,Concurrency,bonnie-vm1,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm1,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm1,VDD_Ksec,VDD_%CPU,VDD_Latency,bonnie-vm2,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm2,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm2,VDD_Ksec,VDD_%CPU,VDD_Latency,bonnie-vm3,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm3,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm3,VDD_Ksec,VDD_%CPU,VDD_Latency,bonnie-vm4,VDB_Ksec,VDB_%CPU,VDB_Latency,bonnie-vm4,VDC_Ksec,VDC_%CPU,VDC_Latency,bonnie-vm4,VDD_Ksec,VDD_%CPU,VDD_Latency
Sequential Output,Per character,3,bonnie-vm1,718,92,10823us,bonnie-vm1,789,93,10184us,bonnie-vm1,780,93,10183us,bonnie-vm2,760,95,10502us,bonnie-vm2,732,94,10573us,bonnie-vm2,740,94,10559us,bonnie-vm3,746,92,10421us,bonnie-vm3,783,95,10905us,bonnie-vm3,751,92,11034us,bonnie-vm4,536,82,12960us,bonnie-vm4,540,83,16130us,bonnie-vm4,563,84,13077us
